Tempo(s),Canal0(V),Canal2(V),Canal3(V),Label
136.8517746925354,1.52275,1.56275,1.52275,0
136.91953015327454,1.52275,1.52275,1.52275,0
136.9873661994934,1.60275,1.60275,1.52275,0
137.05598092079163,1.56275,1.60275,1.48275,0
137.12399435043335,1.52275,1.52275,1.52275,0
137.1917746067047,1.52275,1.56275,1.52275,0
137.25957489013672,1.52275,1.52275,1.4425,0
137.32724857330322,1.52275,1.56275,1.52275,0
137.39522552490234,1.56275,1.60275,1.52275,0
137.46304154396057,1.52275,1.60275,1.52275,0
137.53092670440674,1.48275,1.52275,1.52275,0
137.59901022911072,1.4425,1.52275,1.52275,0
137.66871213912964,1.56275,1.52275,1.52275,0
137.7363874912262,1.52275,1.52275,1.52275,0
137.8044605255127,1.52275,1.52275,1.52275,0
137.87252235412598,1.48275,1.60275,1.52275,0
137.94044542312622,1.52275,1.60275,1.52275,0
138.00829768180847,1.60275,1.60275,1.52275,0
138.07600665092468,1.56275,1.52275,1.52275,0
138.1438751220703,1.52275,1.60275,1.52275,0
138.21167421340942,1.52275,1.52275,1.4425,0
138.27967381477356,1.52275,1.60275,1.60275,0
138.3477807044983,1.52275,1.60275,1.52275,0
138.4158844947815,1.48275,1.56275,1.52275,0
138.48403000831604,1.4425,1.60275,1.52275,0
138.55220580101013,1.48275,1.60275,1.52275,0
138.6223120689392,1.48275,1.52275,1.52275,0
138.69047570228577,1.52275,1.60275,1.52275,0
138.7586510181427,1.56275,1.60275,1.52275,0
138.82698035240173,1.60275,1.56275,1.4425,0
138.89663457870483,1.52275,1.60275,1.52275,0
138.96487259864807,1.4425,1.52275,1.52275,0
139.03303503990173,1.4425,1.56275,1.48275,0
139.1012740135193,1.4425,1.52275,1.48275,0
139.16932320594788,1.48275,1.60275,1.60275,0
139.23735547065735,1.52275,1.60275,1.52275,0
139.30559134483337,1.52275,1.56275,1.52275,0
139.37400484085083,1.52275,1.60275,1.56275,0
139.4421033859253,1.52275,1.60275,1.52275,0
139.51023077964783,1.52275,1.52275,1.48275,0
139.5783176422119,1.56275,1.52275,1.52275,0
139.6470947265625,1.52275,1.60275,1.52275,0
139.7157211303711,1.52275,1.52275,1.52275,0
139.7870955467224,1.56275,1.52275,1.60275,0
139.85614776611328,1.52275,1.60275,1.56275,0
139.92449164390564,1.4425,1.56275,1.48275,0
139.99276876449585,1.52275,1.56275,1.52275,0
140.06104636192322,1.52275,1.60275,1.52275,1
140.12935519218445,1.52275,1.52275,1.4425,1
140.19798970222473,1.48275,1.52275,1.52275,1
140.26638770103455,1.52275,1.60275,1.56275,1
140.33473181724548,1.52275,1.60275,1.52275,1
140.40302395820618,1.48275,1.56275,1.52275,1
140.47155332565308,1.52275,1.60275,1.56275,1
140.5399293899536,1.52275,1.60275,1.56275,1
140.60831093788147,1.52275,1.52275,1.52275,1
140.6783938407898,1.643,1.52275,1.48275,1
140.74698281288147,2.4845,2.16375,2.204,1
140.81545686721802,3.24575,2.92525,3.0855,1
140.8842613697052,2.88525,2.40425,3.44625,1
140.95271015167236,2.5645,2.16375,3.0855,1
141.02150106430054,2.72475,2.32425,3.366,1
141.09022903442383,2.765,2.2840000000000003,3.28575,1
141.15886402130127,2.92525,2.4845,3.326,1
141.2273769378662,2.64475,2.244,2.5645,1
141.29597449302673,2.5245,2.72475,2.64475,1
141.36482739448547,2.40425,2.244,2.765,1
141.43366265296936,2.2840000000000003,2.244,2.4845,1
141.50237107276917,2.32425,2.16375,2.2840000000000003,1
141.57106018066406,2.204,2.0035,2.0035,1
141.64000344276428,2.04375,2.16375,2.16375,1
141.70932269096377,2.2840000000000003,2.08375,2.08375,1
141.7780613899231,2.244,2.04375,2.244,1
141.84679508209229,2.16375,2.12375,2.36425,1
141.91579580307007,2.12375,2.204,2.32425,1
141.98487615585327,2.244,2.4442500000000003,2.32425,1
142.05377221107483,2.4442500000000003,2.36425,2.36425,1
142.12265133857727,2.68475,3.24575,2.4845,1
142.19157195091248,2.32425,2.32425,1.88325,1
142.26040625572205,2.204,2.64475,1.76325,1
142.32950639724731,1.9635,2.16375,1.84325,1
142.3986358642578,2.12375,1.84325,2.0035,1
142.46765327453613,1.88325,1.9235,1.76325,1
142.53634214401245,1.88325,1.9235,1.88325,1
142.6055290699005,1.9235,1.76325,1.683,1
142.67654132843018,1.84325,1.9235,1.683,1
142.74699759483337,1.84325,1.683,1.643,1
142.8162190914154,1.723,1.683,1.683,1
142.8853313922882,1.84325,2.0035,1.643,1
142.95457458496094,1.84325,1.84325,1.84325,1
143.02389931678772,1.9235,1.723,2.0035,1
143.0930576324463,2.08375,1.84325,1.9235,1
143.16225576400757,2.32425,2.16375,2.16375,1
143.23139572143555,2.244,1.88325,2.12375,1
143.30075311660767,2.08375,1.80325,1.84325,1
143.3699769973755,2.0035,1.9235,1.84325,1
143.4394013881683,1.80325,1.84325,1.683,1
143.5088131427765,1.84325,1.88325,1.76325,1
143.57808303833008,1.84325,1.723,1.723,1
143.64748430252075,1.9635,1.643,1.683,1
143.71747946739197,1.76325,1.683,1.76325,1
143.7866780757904,1.643,1.84325,2.0035,1
143.85603952407837,1.52275,1.683,1.723,1
143.92555356025696,1.683,1.683,1.76325,1
143.99496626853943,1.723,1.76325,1.683,1
144.0644793510437,1.88325,1.80325,1.84325,1
144.1341245174408,1.723,1.683,2.0035,1
144.2033576965332,2.0035,1.723,2.08375,1
144.27294826507568,1.683,1.683,1.76325,1
144.34247851371765,1.76325,1.76325,1.643,1
144.41200137138367,1.9635,1.84325,1.9235,1
144.48149585723877,2.0035,1.723,1.84325,1
144.55112099647522,2.0035,1.76325,1.9235,1
144.62068343162537,1.9235,1.76325,2.04375,1
144.6905436515808,1.88325,1.683,2.04375,1
144.76185393333435,1.76325,1.683,1.723,1
144.8313422203064,1.9635,1.683,1.683,1
144.90104460716248,1.84325,1.76325,1.76325,1
144.9706437587738,1.76325,1.683,1.80325,1
145.04034066200256,2.12375,1.683,2.12375,2
145.11011695861816,1.76325,1.84325,1.52275,2
145.17964553833008,1.84325,2.60475,1.4425,2
145.24968791007996,1.4425,2.5645,1.20225,2
145.31937193870544,1.4425,3.56625,1.4025,2
145.3894636631012,2.40425,4.8085,1.9235,2
145.45937609672546,2.08375,4.40775,1.80325,2
145.52918767929077,2.244,4.96875,1.9635,2
145.59924292564392,2.68475,4.56825,2.32425,2
145.671049118042,2.40425,3.6065,2.04375,2
145.74523997306824,2.36425,3.6065,2.08375,2
145.8154845237732,2.32425,3.0855,1.84325,2
145.88562607765198,2.04375,3.20575,1.76325,2
145.95575213432312,1.9235,3.72675,1.84325,2
146.02609658241272,2.244,3.44625,1.9635,2
146.09593224525452,2.32425,3.6065,2.0035,2
146.166335105896,2.12375,3.6865,2.08375,2
146.23642539978027,2.12375,3.6065,2.0035,2
146.30673694610596,2.244,3.6065,2.08375,2
146.37712049484253,2.204,4.04725,2.0035,2
146.4473171234131,2.204,3.366,2.0035,2
146.51763033866882,2.04375,3.20575,1.9635,2
146.58788752555847,2.04375,3.366,1.9235,2
146.65841484069824,2.204,3.366,1.9635,2
146.72860670089722,2.244,3.6865,2.0035,2
146.79930591583252,2.04375,3.1255,1.84325,2
146.86950397491455,2.08375,3.52625,1.9635,2
146.93975687026978,2.204,4.12725,2.0035,2
147.0103259086609,2.0035,3.887,1.88325,2
147.08051204681396,2.32425,3.6865,2.04375,2
147.1510100364685,1.9235,3.20575,1.88325,2
147.22116446495056,1.9635,3.52625,1.9235,2
147.2916693687439,2.16375,3.326,1.9235,2
147.36200761795044,2.16375,3.406,2.0035,2
147.43256378173828,2.16375,3.52625,1.9235,2
